date,home_team,away_team,home_score,away_score,tournament,location,home_elo_rating,away_elo_rating,home_elo_rank,away_elo_rank
2023-06-19,Slovenia,Denmark,1,1,European Champ qual,Slovenia,1662,1851,47,17
2023-06-19,Northern Ireland,Kazakhstan,0,1,European Champ qual,Northern Ireland,1489,1449,83,92
2023-06-19,Israel,Andorra,2,1,European Champ qual,Israel,1612,1120,60,172
2023-06-19,Ireland,Gibraltar,3,0,European Champ qual,Ireland,1659,1065,50,180
2023-06-19,France,Greece,1,0,European Champ qual,France,2114,1694,3,44
2023-06-19,Finland,San Marino,6,0,European Champ qual,Finland,1694,780,44,211
2023-06-19,England,North Macedonia,7,0,European Champ qual,England,2007,1526,6,75
2023-06-19,Belarus,Kosovo,2,1,European Champ qual,Hungary,1420,1475,101,85
2023-06-19,Armenia,Latvia,2,1,European Champ qual,Armenia,1497,1332,82,123
2023-06-20,Vietnam,Syria,1,0,Friendly,Vietnam,1402,1414,105,103
2023-06-20,Uruguay,Cuba,2,0,Friendly,Uruguay,1916,1341,12,120
2023-06-20,South Korea,El Salvador,1,1,Friendly,South Korea,1760,1475,32,87
2023-06-20,Senegal,Brazil,4,2,Friendly,Portugal,1767,2093,30,3
2023-06-20,Montenegro,Czechia,1,4,Friendly,Montenegro,1548,1802,70,25
2023-06-20,Malaysia,Papua New Guinea,10,0,Friendly,Malaysia,1284,1207,138,158
2023-06-20,Japan,Peru,4,1,Friendly,Japan,1855,1842,15,20
2023-06-20,Haiti,Trinidad and Tobago,0,0,Friendly,the United States,1545,1378,71,110
2023-06-20,Germany,Colombia,0,2,Friendly,Germany,1913,1951,13,11
2023-06-20,Ecuador,Costa Rica,3,1,Friendly,the United States,1853,1689,17,45
2023-06-20,China,Palestine,2,0,Friendly,China,1480,1435,86,96
2023-06-20,Bolivia,Chile,0,0,Friendly,Bolivia,1614,1707,58,41
2023-06-20,Algeria,Tunisia,1,1,Friendly,Algeria,1711,1728,40,36
2023-06-20,Kyrgyzstan,Oman,0,1,Central Asian Nations Cup,Uzbekistan,1234,1576,155,64
2023-06-20,Uzbekistan,Iran,0,1,Central Asian Nations Cup,Uzbekistan,1609,1802,60,25
2023-06-20,Mauritania,Sudan,3,0,African Nations Cup qual,Morocco,1401,1291,107,136
2023-06-20,Ethiopia,Malawi,0,0,African Nations Cup qual,Mozambique,1307,1260,131,148
2023-06-20,Burundi,Namibia,3,2,African Nations Cup qual,Tanzania,1276,1385,142,109
2023-06-20,Scotland,Georgia,2,0,European Champ qual,Scotland,1831,1650,22,50
2023-06-20,Norway,Cyprus,3,1,European Champ qual,Norway,1726,1342,38,119
2023-06-20,Moldova,Poland,3,2,European Champ qual,Moldova,1279,1758,140,33
2023-06-20,Liechtenstein,Slovakia,0,1,European Champ qual,Liechtenstein,966,1618,190,55
2023-06-20,Iceland,Portugal,0,1,European Champ qual,Iceland,1498,2012,80,4
2023-06-20,Hungary,Lithuania,2,0,European Champ qual,Hungary,1821,1262,24,147
2023-06-20,Faroe Islands,Albania,1,3,European Champ qual,the Faroe Islands,1281,1562,139,68
2023-06-20,Estonia,Belgium,0,3,European Champ qual,Estonia,1442,1978,95,8
2023-06-20,Bulgaria,Serbia,1,1,European Champ qual,Bulgaria,1497,1854,82,16
2023-06-20,Bosnia and Herzegovina,Luxembourg,0,2,European Champ qual,Bosnia and Herzegovina,1554,1483,69,85
2023-06-20,Austria,Sweden,2,0,European Champ qual,Austria,1794,1736,27,35
2023-06-20,Martinique,Puerto Rico,2,0,CONCACAF Champ qual,the United States,1419,1109,101,176
2023-06-20,Guadeloupe,Guyana,2,0,CONCACAF Champ qual,the United States,1245,1169,151,165
2023-06-20,French Guiana,Saint Kitts and Nevis,1,1,CONCACAF Champ qual,the United States,1304,1203,133,159
2023-06-21,Kuwait,Nepal,3,1,South Asian Championship,India,1382,929,110,195
2023-06-21,India,Pakistan,4,0,South Asian Championship,India,1269,829,143,209
2023-06-22,Maldives,Bhutan,2,0,South Asian Championship,India,942,562,194,236
2023-06-22,Lebanon,Bangladesh,2,0,South Asian Championship,India,1299,859,135,204
2023-06-24,Kuwait,Pakistan,4,0,South Asian Championship,India,1385,826,109,209
2023-06-24,India,Nepal,2,0,South Asian Championship,India,1273,925,143,195
2023-06-24,United States,Jamaica,1,1,CONCACAF Championship,the United States,1828,1550,23,70
2023-06-25,Lebanon,Bhutan,4,1,South Asian Championship,India,1300,561,135,236
2023-06-25,Bangladesh,Maldives,3,1,South Asian Championship,India,896,905,200,198
2023-06-25,Trinidad and Tobago,Saint Kitts and Nevis,3,0,CONCACAF Championship,the United States,1401,1180,107,163
2023-06-25,Mexico,Honduras,4,0,CONCACAF Championship,the United States,1803,1455,25,91
2023-06-25,Haiti,Qatar,2,1,CONCACAF Championship,the United States,1570,1519,67,75
2023-06-26,Panama,Costa Rica,2,1,CONCACAF Championship,the United States,1663,1660,46,48
2023-06-26,Martinique,El Salvador,2,1,CONCACAF Championship,the United States,1448,1446,93,95
2023-06-27,Nepal,Pakistan,1,0,South Asian Championship,India,939,812,194,209
2023-06-27,India,Kuwait,1,1,South Asian Championship,India,1274,1384,143,111
2023-06-27,Guatemala,Cuba,1,0,CONCACAF Championship,the United States,1490,1325,84,124
2023-06-28,Lebanon,Maldives,1,0,South Asian Championship,India,1304,901,133,200
2023-06-28,Bangladesh,Bhutan,3,1,South Asian Championship,India,904,553,198,236
2023-06-28,United States,Saint Kitts and Nevis,6,0,CONCACAF Championship,the United States,1829,1179,23,163
2023-06-28,Jamaica,Trinidad and Tobago,4,1,CONCACAF Championship,the United States,1576,1375,64,114
2023-06-29,Mexico,Haiti,3,1,CONCACAF Championship,the United States,1819,1554,25,70
2023-06-29,Honduras,Qatar,1,1,CONCACAF Championship,the United States,1460,1514,89,77
2023-06-30,Panama,Martinique,2,1,CONCACAF Championship,the United States,1674,1437,46,96
2023-06-30,Costa Rica,El Salvador,0,0,CONCACAF Championship,the United States,1646,1460,51,89
